"","AQIM_CARGO_ID","CARGO_FORM","CALENDAR_YR","CARGO_CATG","ORIGIN","CITY","STATE","QUANTITY","UNIT","INSP_QUANTITY","INSP_UNIT","INSP_METHOD","AG_RISK_FL","INTENDED_USE","COMMODITY_LIST","LOCATION","PORT_CD","ENTRY_NUM","CARGO_COMMODITY_ID","AQIM_COMMODITY","QUANTITY.y","UNIT.y","FND_IN_CARGO","PROHIBITED_FL","TREATMENT_FL","SMUGGLED_FL","PEST_FL","PEST_DATA","CONTAMNT_FL","CONTAMINENT","CREATE_DT","kstar","QUANTITY_INSP_UNITS","HYPER_SAMP_SIZE"
"813","15366AC","Air Cargo",2013,"Perishable","GTM","DALLAS","TX",93,"Box/Carton",25,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,93,25
"814","15367AC","Air Cargo",2013,"Perishable","THA","FREMONT","CA",35,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,20
"815","15374AC","Air Cargo",2013,"Perishable","NLD","CARLISLE","PA",140,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","VA Dulles CBP IAB",5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,140,26
"816","15376AC","Air Cargo",2013,"Perishable","TKL","CHICAGO","IL",11,"Box/Carton",11,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,11
"817","15377AC","Air Cargo",2013,"Perishable","THA","SAN FRANCISCO","CA",40,"Box/Carton",21,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,21
"818","15380AC","Air Cargo",2013,"Perishable","NLD","ARLINGTON","TX",16,"Box/Carton",14,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,14
"819","15386AC","Air Cargo",2013,"Perishable","GTM","DALLAS","TX",52,"Box/Carton",22,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,22
"820","15387AC","Air Cargo",2013,"Perishable","THA","SAN BRUNO","CA",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"821","15388AC","Air Cargo",2013,"Perishable","THA","SAN BRUNO","CA",10,"Box/Carton",10,"Box/Carton","Hypergeometric Sample","N","","Mokara sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10
"822","15389AC","Air Cargo",2013,"Perishable","NLD","CARLISLE","PA",140,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","VA Dulles CBP IAB",5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,140,26
"823","15390AC","Air Cargo",2013,"Perishable","GBR","FREETOWN","MA",280,"Box/Carton",28,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","MA Boston CBP",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,280,28
"824","15392AC","Air Cargo",2013,"Perishable","NLD","MINNEAPOLIS","MN",62,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62,23
"825","15393AC","Air Cargo",2013,"Perishable","COL","SAN JUAN","PR",156,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Bouquets rose, CF","PR San Juan Air CBP",4913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,156,26
"826","15399AC","Air Cargo",2013,"Perishable","GTM","DALLAS","TX",35,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,20
"827","15412AC","Air Cargo",2013,"Perishable","THA","NORTHBROOK","IL",24,"Box/Carton",17,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,17
