LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,6450,Items,340,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,6510,Items,434,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,6552,Items,345,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,6600,Items,440,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,6800,Items,324,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,7075,Items,443,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,7100,Items,323,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,7100,Items,444,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,7200,Items,450,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,7200,Items,450,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,7206,Items,451,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,7375,Items,461,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,7662,Items,334,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,8000,Items,364,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,8000,Items,364,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,8100,Items,369,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,8330,Items,521,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,8400,Items,382,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,8442,Items,423,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,8700,Items,544,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,8797,Items,518,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,8800,Items,550,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,2023,8980,Items,529,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,9500,Items,594,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,United Kingdom of Great Britain and N. Ireland,2023,9500,Items,475,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,9600,Items,600,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,10195,Items,638,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,10624,Items,443,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,10700,Items,446,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,10900,Items,545,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,10920,Items,683,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,11000,Items,688,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,11000,Items,479,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,11025,Items,690,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,11160,Items,657,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,11691,Items,688,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,11735,Items,691,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Colombia,2023,11760,Items,692,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,11800,Items,492,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,12100,Items,505,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,12488,Items,735,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,12600,Items,525,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,12600,Items,525,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,12600,Items,504,none
